1280,720,304,303,63,61,27
1280,720,802,240,81,74,27
1280,720,351,406,32,30,1
1280,720,180,341,52,54,1
1280,720,412,379,77,75,30
1280,720,1035,176,72,67,20
1280,720,1026,271,44,44,12
1280,720,973,121,88,87,26
1280,720,982,202,78,72,12
1280,720,917,285,76,67,31
1280,720,813,281,47,43,24
1280,720,1080,342,42,39,26
1280,720,1033,142,90,81,24
1280,720,1182,314,47,43,31
1280,720,1053,263,66,57,24
1280,720,944,266,69,65,18
1280,720,762,384,34,37,24
1280,720,971,275,84,79,24
1280,720,840,397,32,30,18
1280,720,1011,317,60,56,18
1280,720,768,417,29,24,24
1280,720,986,321,67,61,24
1280,720,938,412,42,42,20
1280,720,1044,368,66,58,20
1280,720,1016,328,70,67,18
1280,720,767,349,43,37,31
1280,720,865,313,71,56,31
1280,720,1071,251,109,90,31
1280,720,929,272,77,63,26
1280,720,1071,203,106,92,26
1280,720,916,262,72,72,27
1280,720,1138,164,126,120,27
1280,720,929,242,66,62,20
1280,720,436,236,69,75,20
1280,720,947,102,107,110,20
1280,720,785,338,30,32,24
1280,720,870,302,44,45,24
1280,720,1018,230,75,65,24
1280,720,813,347,30,29,20
1280,720,1058,240,84,77,20
1280,720,872,297,50,45,24
1280,720,1117,197,93,80,24
1280,720,336,178,82,81,24
1280,720,844,269,44,44,20
1280,720,837,259,49,47,24
1280,720,811,281,45,41,20
1280,720,829,277,62,54,31
1280,720,881,265,50,50,20
1280,720,861,233,63,52,20
1280,720,807,227,56,55,24
1280,720,860,237,51,49,24
1280,720,863,249,43,45,24
1280,720,857,250,48,44,24
1280,720,853,276,45,43,24
1280,720,708,264,56,47,26
1280,720,834,257,47,45,20
1280,720,714,304,41,38,12
1280,720,302,350,72,63,30
1280,720,794,178,81,70,26
1280,720,808,241,70,68,12
1280,720,872,251,55,48,20
1280,720,911,240,50,56,22
1280,720,942,292,48,46,3
1280,720,821,236,56,49,24
1280,720,821,282,63,56,8
1280,720,886,173,76,69,24
1280,720,891,240,77,74,8
1280,720,787,290,51,49,3
1280,720,857,260,51,50,20
1280,720,901,219,86,81,3
1280,720,860,252,46,36,24
1280,720,660,261,46,44,8
1280,720,799,188,66,60,8
1280,720,621,331,29,26,24
1280,720,773,265,53,49,24
1280,720,843,214,72,63,24
1280,720,783,299,49,43,24
1280,720,889,242,75,68,24
1280,720,832,264,43,36,20
1280,720,907,235,55,48,20
1280,720,803,272,45,38,24
